LNG,Cheniere Energy Inc. Common Stock,$64.90,-0.55,-0.84%,16372583574.00,United States,,879628,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$1.77,-0.10,-5.348%,61915956.00,United States,,3406651,Basic Industries,Precious Metals
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$6.27,-0.03,-0.476%,163376638.00,United States,2017,294016,Consumer Services,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$46.03,1.04,2.312%,408511187.00,,2020,52569,Consumer Non-Durables,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$17.25,0.64,3.853%,476481208.00,United Kingdom,2012,79243,Basic Industries,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$18.01,-0.83,-4.406%,1706326509.00,Canada,,1312577,Basic Industries,Precious Metals
MCF,Contango Oil & Gas Company Common Stock (TX),$2.93,0.10,3.534%,508904738.00,United States,,760658,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$17.45,0.16,0.925%,198576620.00,United States,,12208,Consumer Services,Professional Services
MLSS,Milestone Scientific Inc. Common Stock,$3.29,0.20,6.472%,209551513.00,United States,2015,1534571,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$5.42,0.22,4.231%,761446635.00,,,220639,Basic Industries,Precious Metals
MSN,Emerson Radio Corporation Common Stock,$1.65,0.05,3.125%,34720376.00,United States,,347275,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$10.25,-0.02,-0.195%,406065189.00,,,288990,Basic Industries,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$1.23,0.02,1.653%,245559362.00,United States,2017,9194941,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,$8.49,0.02,0.236%,17420342.00,United States,,59525,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$12.10,0.45,3.863%,55439635.00,United States,2017,116363,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.6124,-0.0047,-0.762%,311740157.00,Canada,,25125352,Basic Industries,Precious Metals
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$2.89,0.43,17.48%,77126002.00,United States,,2396591,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$10.56,-0.02,-0.189%,157555200.00,,2020,70337,Finance,Business Services
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$15.48,0.26,1.708%,291304126.00,United States,2002,54123,,
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$12.43,-0.03,-0.241%,63112293.00,United States,2002,3081,,
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$13.60,0.06,0.443%,75494198.00,United States,2002,4869,,
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$1.01,0.0612,6.45%,42200410.00,United States,2007,4556288,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$50.99,0.00,0.00%,186250969.00,United States,,212,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$2.94,-0.06,-2.00%,46370915.00,United States,2017,50177,Energy,Oilfield Services/Equipment
NG,Novagold Resources Inc.,$9.17,-0.03,-0.326%,3038210085.00,Canada,,812928,Basic Industries,Precious Metals
NGD,New Gold Inc.,$1.72,-0.14,-7.527%,1163408000.00,Canada,,15647192,Basic Industries,Precious Metals
NHC,National HealthCare Corporation Common Stock,$64.11,-0.37,-0.574%,984696776.00,United States,,19886,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$12.04,0.04,0.333%,235268643.00,United States,,34722,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$3.87,0.02,0.519%,219270051.00,,2013,202535,,
NNVC,NanoViricides Inc. Common Stock,$4.45,0.16,3.73%,47459250.00,United States,,208721,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,$10.45,-0.80,-7.111%,479146357.00,United States,,1802154,,
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$4.25,0.01,0.236%,201536704.00,United States,2003,259412,,
NSPR,InspireMD Inc. Common Stock,$0.6725,-0.0475,-6.597%,24852073.00,Israel,,33005841,Health Care,Medical/Dental Instruments
NTIP,Network-1 Technologies Inc. Common Stock,$3.49,0.01,0.287%,83875435.00,United States,,10373,Miscellaneous,Multi-Sector Companies
NTN,NTN Buzztime Inc. Common Stock,$4.78,-0.43,-8.253%,14179019.00,United States,,932798,Health Care,Major Pharmaceuticals
NXE,Nexgen Energy Ltd. Common Shares,$3.20,-0.05,-1.538%,1208672221.00,,,1233296,Basic Industries,Precious Metals
OBLG,Oblong Inc. Common Stock,$4.98,0.27,5.732%,38588172.00,United States,,321619,Technology,Computer Software: Programming Data Processing
OCX,OncoCyte Corporation Common Stock,$5.31,-0.04,-0.748%,417694211.00,United States,2015,664402,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
OGEN,Oragenics Inc. Common Stock,$1.01,0.00,0.00%,92684597.00,United States,,9310257,Health Care,Major Pharmaceuticals
ORLA,Orla Mining Ltd. Common Shares,$4.18,0.00,0.00%,957077880.00,,2020,393768,Basic Industries,Precious Metals
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$29.35,0.025,0.085%,,United States,,1245,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$27.21,0.00,0.00%,,United States,,50,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$25.2282,0.0282,0.112%,,United States,,500,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$24.22,0.00,0.00%,,United States,,5,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$22.99,-0.75,-3.159%,,United States,,426,,
PED,Pedevco Corp. Common Stock,$1.61,0.06,3.871%,116665977.00,United States,,3357210,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$6.77,-0.34,-4.782%,157382542.00,,2019,61996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$2.59,0.07,2.778%,34259911.00,China,,163275,Consumer Non-Durables,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$4.45,0.23,5.45%,321333503.00,Canada,,993847,Basic Industries,Precious Metals
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$4.09,0.09,2.25%,411861838.00,Canada,,395224,Basic Industries,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$4.60,0.15,3.371%,153348861.00,Israel,,343580,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.4455,0.0455,0.172%,,United States,,1902,,
